Term (N-Gramm);S;tf;df;idf;tf-idf*;tf/S;df/S;(tf*df)/S^2
cleaning;3479;314;24;2,16124318703598;678,630360729299;0,0902558206381144006898534062;0,006898534061511928715148031;0,0006226328529217434942674567
client;3479;325;29;2,07905643084863;675,693340025806;0,0934176487496407013509629204;0,0083357286576602471974705375;0,0007787041718136189534860376
clip;3479;789;46;1,87869659706601;1482,29161508509;0,2267893072722046565104915206;0,0132221902845645300373670595;0,0029986513752576643286814056
clock;3479;1119;68;1,70894551604135;1912,31003245027;0,3216441506179936763437769474;0,019545846507617131359586088;0,0062868071980521902820858961
close;3479;1340;352;0,994911765269458;1333,18176546107;0,3851681517677493532624317333;0,1011784995688416211555044553;0,0389707356775647520403495171
cluster;3479;215;22;2,19903174792538;472,791825803957;0,0617993676343776947398677781;0,0063236562230526013222190285;0,0003907979557218480265240273
coat;3479;221;72;1,68412193231632;372,190947041907;0,0635240011497556769186547859;0,0206956021845357861454440931;0,0013146674569653373780233241
code;3479;1826;198;1,24478923848606;2272,98514947554;0,5248634665133659097441793619;0,0569129060074734118999712561;0,0298715051364318626413761178
coefficient;3479;518;79;1,64382733745715;851,502560802802;0,14889336016096579476861167;0,0227076746191434320206956022;0,0033810219754861448079104116
coil;3479;1457;146;1,37710157296315;2006,43699180731;0,4187985053176200057487783846;0,0419660822075308996838171888;0,017575332502550307800897282
collect;3479;346;97;1,55468269448134;537,920212290545;0,0994538660534636389767174475;0,0278815751652773785570566255;0,0027729304418470747285833838
color;3479;6220;433;0,904966532394223;5628,89183149207;1,7878700776085081920091980454;0,1244610520264443805691290601;0,2225201907457556904685204811
column;3479;981;137;1,40473386159118;1378,04391822095;0,2819775797643000862316757689;0,0393791319344639264156366772;0,011104032316099198566754694
combination;3479;834;198;1,24478923848606;1038,15422489737;0,2397240586375395228513940788;0,0569129060074734118999712561;0,0136433928169683315678574382
combine;3479;1152;252;1,14005388796604;1313,34207893688;0,3311296349525725783271054901;0,072434607645875251509054326;0,0239852451877114946071947639
command;3479;1454;177;1,29348116238578;1880,72161010893;0,4179361885599310146593848807;0,0508766887036504742742167289;0,0212632093633537768309028813
communicate;3479;599;214;1,2110406553984;725,413352583641;0,1721759126185685541822362748;0,0615119287151480310434032768;0,010590872463458945270192171
communication;3479;2898;364;0,980353045098533;2841,06312469555;0,8329979879275653923541247485;0,1046277665995975855130784708;0,0871547190588197191195462514
